project	key	title	abstract	doi	decision	mode	exclusion_criteria	reviewer_count	is_shot
MPM4CPS	Bucaioni2018	MoVES: A Model-Driven Methodology for Vehicular Embedded Systems	This paper introduces a novel model-driven methodology for the software development of real-time distributed vehicular embedded systems on single- and multi-core platforms. The proposed methodology discloses the opportunity of improving the cost-efficiency of the development process by providing automated support to identify viable design solutions with respect to selected non-functional requirements. To this end, it leverages the interplay of modeling languages for the vehicular domain whose integration is achieved by a suite of model transformations. An instantiation of the methodology is discussed for timing requirements, which are among the most critical ones for vehicular systems. To support the design of temporally correct systems, cooperation between EAST-ADL and the Rubus component model is opportunely built-up by means of model transformations, enabling timing-aware design and model-based timing analysis of the system. The applicability of the methodology is demonstrated as the proof of concepts on industrial use cases performed in cooperation with our industrial partners.	http://dx.doi.org/10.1109/ACCESS.2018.2789400	Excluded	conflict_resolution	Outside of the SLR date range,Outside of the SLR date range	2	True
MPM4CPS	Carreira2011	The case for a systematic development of Building Automation Systems	It is widely acknowledged that Automated Demand Response (ADR) is a key factor for the success of the Smart Grid. However, for ADR to be realized to its full extent a new generation of Building Automation Systems (BASs) will have to be developed and the existing upgraded to leverage dynamic tariff plans and curtailment calls sent from the grid. It is well known that developing BASs is an involved matter, mostly because application software is costly to develop and maintain. In practice, this state of affairs is slowing the rise of innovative solutions for ADR. In recent years, software engineering practices such as Model-Driven Engineering have been proposed as a means to alleviate the problem of developing BASs, which we believe should be presented to the Smart Grid community. This article presents the main challenges of creating software for BASs (from a modelling perspective), overviews the state-of-the-art and presents an outlook on possible model-driven engineering techniques that can be effectively applied to significantly improve the development of BASs in the near future.	http://dx.doi.org/10.1109/ISGTEurope.2011.6162819	Included	new_screen		2	True
MPM4CPS	Chandra2015	Programming languages for Wireless Sensor Networks: A comparative study	Wireless Sensor Networks (WSNs) are highly coexisting, dynamic and application specific, as well as having resource constrained in nature, thus programming the sensor nodes is difficult when compared to traditional computer systems. It is most difficult task to build reliable and practical programming solutions or systems for distributed and resource-constrained wireless sensor devices. The objective of this research contribution is to present a comparative study in terms of programming approaches, its potentials and pitfalls.	https://ieeexplore.ieee.org/abstract/document/7100538/	Excluded	new_screen	Secondary study,Secondary study	2	False
MPM4CPS	Ciccozzi2016	UML-Based Development of Embedded Real-Time Software on Multi-Core in Practice: Lessons Learned and Future Perspectives	Model-driven engineering has got a foothold in industry as an effective way to tame the complexity of modern software, which is meant to run on embedded systems with real-time constraints by promoting abstraction, in terms of prescriptive models, and automation, in terms of model manipulations. In the plethora of modeling languages, the unified modeling language (UML) has emerged and established itself as a de facto standard in industry, the most widely used architectural description language and an ISO/IEC standard. In the SMARTCore project, we have provided solutions for the UML-based development of software to run on multicore embedded real-time systems with the specific focus of automating the generation of executable code and the optimization of task allocation based on a unique combination of model-based and execution-based mechanisms. In this paper, we describe the lessons learned in the research work carried out within SMARTCore and provide a set of perspectives that we consider to be highly relevant for the forthcoming future of this research area to enable a wider adoption of UML-based development in industry in general, and in the multicore embedded real-time domain in particular.	http://dx.doi.org/10.1109/ACCESS.2016.2604018	Included	new_screen		2	False
MPM4CPS	Courtney2009	An extensible tool for dependability, security, and performance evaluation of large and complex system models	Mobius 2.3 is an extensible dependability, security, and performance modeling environment for large-scale discrete-event systems. It provides multiple model formalisms and solution techniques, facilitating the representation of each part of a system in the formalism that is most appropriate for it, and the application of the solution method or methods best-suited to estimating the system's behavior. Since its initial release in 2001, many advances have been made in Moumlbius's design and implementation that have strengthened its place in the modeling and analysis community. With almost a decade of widespread academic and industrial use, Moumlbius has proven itself to be useful in a wide variety of modeling situations. This paper documents the current feature set of Mobius 2.3, emphasizing recent significant enhancements.	http://dx.doi.org/10.1109/DSN.2009.5270318	Included	conflict_resolution		2	False
MPM4CPS	Dang2009	Precise Model-Driven Transformations Based on Graphs and Metamodels	Presenting precisely models and supporting automatic manipulation of models are at the heart of model-centric software development. A formal foundation for these tasks is a necessity as well as a challenge. We present a model-driven approach based on the integration of two light-weight formal methods, the object constraint language (OCL) and triple graph grammars (TGGs). OCL together with metamodeling allows us to present precisely models. With TGGs we can carry out model manipulations, especially model transformations. We focus on explaining the tool which realizes our approach. This tool is developed as an extension of the UML-based specification environment (USE), which offers full OCL support. A case study showing the transformation between statecharts and extended hierarchical automata explains our approach.	http://dx.doi.org/10.1109/SEFM.2009.9	Included	conflict_resolution		2	False
MPM4CPS	Debreceni2017	Property-Based Locking in Collaborative Modeling	Large-scale model-driven engineering projects are carried out collaboratively. Enabling a high degree of concurrency is required to make the traditionally rigid development processes more agile. The increasing number of collaborators increases the probability of introducing conflicts which need to be resolved manually by the collaborators. In case of highly interdependent models, avoiding conflicts by the use of locks can save valuable time. However, traditional locking techniques such as fragment-based and object-based strategies may impose unnecessary restrictions on editing, which can decrease the efficiency of collaboration.In this paper, we propose a property-based locking approach that generalizes traditional locking techniques, and further allows more fine-grained locks in order to restrict modifications only when necessary. A lock is considered to be violated if a match appears or disappears for its associated graph pattern (formula), which captures the property of the model that the upcoming edit transaction can be freely executed. An initial evaluation has been carried out using a case study of the MONDO EU project.	http://dx.doi.org/10.1109/MODELS.2017.33	Excluded	new_screen	Papers that did not apply to research questions,Papers that did not apply to research questions	2	True
MPM4CPS	Derler2012	Modeling Cyber \#x2013;Physical Systems	This paper focuses on the challenges of modeling cyber-physical systems (CPSs) that arise from the intrinsic heterogeneity, concurrency, and sensitivity to timing of such systems. It uses a portion of an aircraft vehicle management system (VMS), specifically the fuel management subsystem, to illustrate the challenges, and then discusses technologies that at least partially address the challenges. Specific technologies described include hybrid system modeling and simulation, concurrent and heterogeneous models of computation, the use of domain-specific ontologies to enhance modularity, and the joint modeling of functionality and implementation architectures.	http://dx.doi.org/10.1109/JPROC.2011.2160929	Excluded	conflict_resolution	Informal literature and secondary/tertiary studies,Informal literature and secondary/tertiary studies	2	True
MPM4CPS	Fitzgerald2015	Cyber-Physical Systems Design: Formal Foundations, Methods and Integrated Tool Chains	The engineering of dependable cyber-physical systems (CPSs) is inherently collaborative, demanding cooperation between diverse disciplines. A goal of current research is the development of integrated tool chains for model-based CPS design that support co-modelling, analysis, co-simulation, testing and implementation. We discuss the role of formal methods in addressing three key aspects of this goal: providing reasoning support for semantically heterogeneous models, managing the complexity and scale of design space exploration, and supporting traceability and provenance in the CPS design set. We briefly outline an approach to the development of such a tool chain based on existing tools and discuss ongoing challenges and open research questions in this area.	http://dx.doi.org/10.1109/FormaliSE.2015.14	Included	new_screen		2	False
MPM4CPS	Fitzgerald2014	Co-modelling and co-simulation in the engineering of systems of cyber-physical systems	We consider the role of collaborative modelling and co-simulation in the design of systems of cyber-physical systems (SoCPSs). Such systems pose particular challenges to model-based SoS engineering through the need to address the semantic heterogeneity of models of physical phenomena alongside models of the computing elements. We describe an approach to multidisciplinary design in which discrete-event models of computing elements are coupled with continuous-time models of physical processes and the environment, allowing the exploration of a design space of alternative allocations of responsibility to cyber and physical elements. We consider, using a case study based on the design of a swarming application, the challenges to be addressed in scaling this approach up from embedded systems design to systems of cyber-physical systems.	http://dx.doi.org/10.1109/SYSOSE.2014.6892465	Included	new_screen		2	False
